transaction_id,customer_id,product_id,quantity,price,timestamp,status
100,CUST_0,PROD_0,1,10.5,2025-07-24T00:00:00,failed
101,CUST_1,PROD_1,2,21.0,2025-07-24T01:00:00,completed
102,CUST_2,PROD_2,3,31.5,2025-07-24T02:00:00,completed
103,CUST_3,PROD_3,4,42.0,2025-07-24T03:00:00,completed
104,CUST_4,PROD_4,5,52.5,2025-07-24T04:00:00,completed
105,CUST_5,PROD_0,1,63.0,2025-07-24T05:00:00,completed
106,CUST_6,PROD_1,2,73.5,2025-07-24T06:00:00,completed
107,CUST_7,PROD_2,3,84.0,2025-07-24T07:00:00,failed
108,CUST_8,PROD_3,4,94.5,2025-07-24T08:00:00,completed
109,CUST_9,PROD_4,5,105.0,2025-07-24T09:00:00,completed
110,CUST_0,PROD_0,1,10.5,2025-07-24T10:00:00,completed
111,CUST_1,PROD_1,2,21.0,2025-07-24T11:00:00,completed
112,CUST_2,PROD_2,3,31.5,2025-07-24T12:00:00,completed
113,CUST_3,PROD_3,4,42.0,2025-07-24T13:00:00,completed
114,CUST_4,PROD_4,5,52.5,2025-07-24T14:00:00,failed
115,CUST_5,PROD_0,1,63.0,2025-07-24T15:00:00,completed
116,CUST_6,PROD_1,2,73.5,2025-07-24T16:00:00,completed
117,CUST_7,PROD_2,3,84.0,2025-07-24T17:00:00,completed
118,CUST_8,PROD_3,4,94.5,2025-07-24T18:00:00,completed
119,CUST_9,PROD_4,5,105.0,2025-07-24T19:00:00,completed
120,CUST_0,PROD_0,1,10.5,2025-07-24T20:00:00,completed
121,CUST_1,PROD_1,2,21.0,2025-07-24T21:00:00,failed
122,CUST_2,PROD_2,3,31.5,2025-07-24T22:00:00,completed
123,CUST_3,PROD_3,4,42.0,2025-07-24T23:00:00,completed
124,CUST_4,PROD_4,5,52.5,2025-07-25T00:00:00,completed
125,CUST_5,PROD_0,1,63.0,2025-07-25T01:00:00,completed
126,CUST_6,PROD_1,2,73.5,2025-07-25T02:00:00,completed
127,CUST_7,PROD_2,3,84.0,2025-07-25T03:00:00,completed
128,CUST_8,PROD_3,4,94.5,2025-07-25T04:00:00,failed
129,CUST_9,PROD_4,5,105.0,2025-07-25T05:00:00,completed
130,CUST_0,PROD_0,1,10.5,2025-07-25T06:00:00,completed
131,CUST_1,PROD_1,2,21.0,2025-07-25T07:00:00,completed
132,CUST_2,PROD_2,3,31.5,2025-07-25T08:00:00,completed
133,CUST_3,PROD_3,4,42.0,2025-07-25T09:00:00,completed
134,CUST_4,PROD_4,5,52.5,2025-07-25T10:00:00,completed
135,CUST_5,PROD_0,1,63.0,2025-07-25T11:00:00,failed
136,CUST_6,PROD_1,2,73.5,2025-07-25T12:00:00,completed
137,CUST_7,PROD_2,3,84.0,2025-07-25T13:00:00,completed
138,CUST_8,PROD_3,4,94.5,2025-07-25T14:00:00,completed
139,CUST_9,PROD_4,5,105.0,2025-07-25T15:00:00,completed
140,CUST_0,PROD_0,1,10.5,2025-07-25T16:00:00,completed
141,CUST_1,PROD_1,2,21.0,2025-07-25T17:00:00,completed
142,CUST_2,PROD_2,3,31.5,2025-07-25T18:00:00,failed
143,CUST_3,PROD_3,4,42.0,2025-07-25T19:00:00,completed
144,CUST_4,PROD_4,5,52.5,2025-07-25T20:00:00,completed
145,CUST_5,PROD_0,1,63.0,2025-07-25T21:00:00,completed
146,CUST_6,PROD_1,2,73.5,2025-07-25T22:00:00,completed
147,CUST_7,PROD_2,3,84.0,2025-07-25T23:00:00,completed
148,CUST_8,PROD_3,4,94.5,2025-07-26T00:00:00,completed
149,CUST_9,PROD_4,5,105.0,2025-07-26T01:00:00,failed
